ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile							30002510
2270	Noble Metals	2270	175,000,000.00	2.16	4.15	1.13	1.37	1.13	4.15	1,684,018.00	10.00	10.00	10.00	0.00	10.00	10.00							
2272	Heavy Metals	2272	151,000,000.00	0.92	2.37	0.18	1.03	0.18	2.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2286	Planktic Colonies	2286	100,000,000.00	0.25	0.25	0.25	0.00	0.25	0.25	2,186,116.00	5.07	10.00	5.00	2.50	7.50	5.00							
2287	Complex Organisms	2287	21,000,000.00	0.52	0.69	0.51	0.09	0.51	0.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2288	Carbon Compounds	2288	20,000,000.00	0.40	0.40	0.40	0.00	0.40	0.40	14,728,929.00	2.15	3.00	2.00	0.42	2.00	2.00							
2305	Autotrophs	2305	11,100,000.00	1.46	1.46	1.07	0.18	1.46	1.46	14,103,233.00	9.99	10.00	9.00	0.50	10.00	9.99							
2306	Non-CS Crystals	2306	137,000,000.00	1.57	5.00	0.57	1.61	0.57	5.00	27,396,410.00	19.40	26.99	10.00	6.47	20.00	11.88							
2307	Felsic Magma	2307	6,099,997.00	0.84	1.20	0.76	0.21	0.77	1.20	500,000.00	10.00	10.00	10.00	0.00	10.00	10.00							
2308	Suspended Plasma	2308	56,000,000.00	1.62	1.64	1.59	0.02	1.63	1.64	3,640,029.00	2.62	3.01	2.30	0.26	2.57	2.30							
2309	Ionic Solutions	2309	151,000,000.00	1.02	2.51	0.29	0.86	0.29	2.51	1,100,242.00	6.44	6.81	6.00	0.38	6.81	6.00							
2310	Noble Gas	2310	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,871,487.00	2.06	2.70	1.05	0.67	1.90	1.05							
2311	Reactive Gas	2311	1,100,000.00	1.52	1.60	0.77	0.42	1.19	1.60	3,530,634.00	11.61	20.00	8.00	4.92	8.00	8.00							
2312	Supertensile Plastics	2312	53,500.00	8,504.91	8,610.25	7,000.00	805.13	7,805.13	8,610.25	21,821.00	18,106.51	19,998.99	17,498.98	944.56	17,498.98	17,498.98							
2317	Oxides	2317	168,000.00	4,707.87	5,450.03	4,100.00	621.34	4,252.32	5,450.01	121,134.00	10,198.69	11,500.00	9,996.97	496.14	9,997.00	9,997.00							
